"filename", "language", "HTML", "Java", "XML", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\config\DemoDataLoader.java", "Java", 0, 10, 0, 0, 2, 12
"f:\Coding\studentmanagement\src\main\java\com\sms\config\SecurityConfig.java", "Java", 0, 2, 0, 0, 0, 2
"f:\Coding\studentmanagement\src\main\java\com\sms\config\WebSocketConfig.java", "Java", 0, 2, 0, 0, 0, 2
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminApiController.java", "Java", 0, 49, 0, 0, 11, 60
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiExceptionHandler.java", "Java", 0, 74, 0, 0, 13, 87
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AuthController.java", "Java", 0, 4, 0, 0, 1, 5
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DashboardController.java", "Java", 0, 2, 0, 0, -1, 1
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherApiController.java", "Java", 0, 64, 0, 0, 12, 76
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\AssignTeacherRequest.java", "Java", 0, 20, 0, 0, 9, 29
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CreateSubjectRequest.java", "Java", 0, 29, 0, 0, 12, 41
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CreateTaskRequest.java", "Java", 0, 37, 0, 0, 16, 53
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\EnrollStudentRequest.java", "Java", 0, 21, 0, 0, 9, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\ScheduleClassRequest.java", "Java", 0, 46, 0, 0, 19, 65
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\StudentProgressViewDto.java", "Java", 0, 24, 0, 0, 9, 33
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Enrollment.java", "Java", 0, -5, 0, 0, 0, -5
"f:\Coding\studentmanagement\src\main\java\com\sms\model\StudentTask.java", "Java", 0, 51, 0, 0, 16, 67
"f:\Coding\studentmanagement\src\main\java\com\sms\model\TaskItem.java", "Java", 0, -10, 0, 0, -3, -13
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\CourseRepository.java", "Java", 0, 1, 0, 0, 1, 2
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\EnrollmentRepository.java", "Java", 0, 2, 0, 0, 2, 4
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\StudentTaskRepository.java", "Java", 0, 14, 0, 0, 9, 23
